id,name,description,imageUrl,backgroundImageUrl,externalLink,secretIdentities,birthPlace,occupation,aliases,alignment,firstAppearance,yearAppearance,universe,gender,race,type,height,weight,eyeColor,hairColor,teams,powers,partners,intelligence,strength,speed,durability,power,combat,creators
1011334,"3-D Man","",https://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg,https://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg,"https://marvel.com/universe/3-D_Man_(Chandler)","","-","Test pilot, adventurer","",good,"-",,Marvel,,,,,,,,"","Agility,Super Strength,Stamina,Super Speed","",50,31,43,32,25,52,""
1017100,"A-Bomb (HAS)","Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",https://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg,https://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg,"https://marvel.com/comics/characters/1017100/a-bomb_has","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1009144,"A.I.M.","AIM is a terrorist organization bent on destroying the world.",https://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg,https://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg,"https://marvel.com/universe/A.I.M.","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1010699,"Aaron Stack","",https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_medium.jpg,https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/background.jpg,"https://marvel.com/comics/characters/1010699/aaron_stack","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1009146,"Abomination (Emil Blonsky)","Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",https://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg,https://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg,"https://marvel.com/universe/Abomination","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1016823,"Abomination (Ultimate)","",https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_medium.jpg,https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/background.jpg,"https://marvel.com/comics/characters/1016823/abomination_ultimate","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1009148,"Absorbing Man","The Absorbing Man (Carl 'Crusher' Creel) is a fictional supervillain that appears in comic books published by Marvel Comics.Debuting in the Silver Age of Comic Books, the Absorbing Man has featured in over four decades of Marvel continuity and other Marvel-endorsed products such as animated television series, video games, and merchandise such as trading cards.",https://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg,https://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg,"https://marvel.com/universe/Absorbing_Man","Carl Creel,Crusher","New York City, New York","Professional criminal; former professional boxer","Absorbing Man,Breaker of Wills,Harold,Lightningbolt,Rocky Davis",,"Daredevil #1 (April, 1964) (As Rocky Davis)",,Marvel,Male,Human,,193,122,blue,No Hair,"Astonishing Avengers,Fear Itself,Legion Accursed,Masters of Evil,They Who Wield Power,Worthy","Cold Resistance,Durability,Energy Absorption,Super Strength,Invulnerability,Elemental Transmogrification,Fire Resistance,Natural Armor,Molecular Manipulation,Heat Resistance,Matter Absorption","Titania",,,,,,,"Jack Kirby,Stan Lee"
1009149,"Abyss","Abyss is a name used for three distinct characters appearing in American comic books published by Marvel Comics.",https://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg,https://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg,"https://marvel.com/universe/Abyss_(alien)","Nils Styger","","","Abyss",,"",2008,Marvel,,,Mutant,,,,,"X-Cell,X-Corps","","Renee Majcomb",,,,,,,"Mark Waid,Roger Cruz,Scott Lobdell,Steve Epting"
1010903,"Abyss (Age of Apocalypse)","",https://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg,https://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg,"https://marvel.com/universe/Abyss_(Age_of_Apocalypse)","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1011266,"Adam Destine","",https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_medium.jpg,https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/background.jpg,"https://marvel.com/universe/Destine,_Adam","","","","",,"",1994,Marvel,,,,,,,,"","","",,,,,,,""
1010354,"Adam Warlock","Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.",https://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg,https://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg,"https://marvel.com/universe/Warlock,_Adam","originally Him; changed to Adam Warlock","","","Adam,Magus,The Magus,Warlock",,"",1967,Marvel,,,,,,,,"Guardians of the Galaxy,Guardians of the Galaxy (2008 team),Infinity Watch","","",,,,,,,"Gil Kane,Jack Kirby,Roy Thomas,Stan Lee"
1010846,"Aegis (Trey Rollins)","",https://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif,https://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif,"https://marvel.com/universe/Aegis_%28Trey_Rollins%29","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1011297,"Agent Brand","",https://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg,https://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg,"https://marvel.com/universe/Agent_Brand","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1011031,"Agent X (Nijo)","Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_medium.jpg,https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/background.jpg,"https://marvel.com/universe/Agent_X_(Nijo)","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1009150,"Agent Zero","",https://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg,https://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg,"https://marvel.com/universe/Agent_Zero","","Unrevealed location in former East Germany","Mercenary, former government operative, freedom fighter","",good,"-",,Marvel,Male,-,,191,104,-,-,"","Energy Absorption,Longevity,Super Strength,Energy Blasts,Energy Beams,Power Suit","",75,28,38,80,72,95,""
1011198,"Agents of Atlas","",https://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg,https://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg,"https://marvel.com/universe/Agents_of_Atlas","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1011175,"Aginar","",https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_medium.jpg,https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/background.jpg,"https://marvel.com/universe/Aginar","","","","",,"",1977,Marvel,,,,,,,,"","","",,,,,,,""
1011136,"Air-Walker (Gabriel Lan)","",https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_medium.jpg,https://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/background.jpg,"https://marvel.com/universe/Air-Walker_(Gabriel_Lan)","","","","",,"",,Marvel,,,,,,,,"","","",,,,,,,""
1011176,"Ajak","Ajak is a fictional character, a member of the Eternals, a race in the Marvel Comics universe.",https://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg,https://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg,"https://marvel.com/universe/Ajak","","","","Ajax the Greater,He Who Talks To Celestials,Lord of Flight,Quetzacoatl,Tecumotzin",,"",1976,Marvel,,,,,,,,"Eternals,God Squad","","",,,,,,,"Jack Kirby"
